Time,Current,Spin Coating,Increasing PPM,Temperature,Repeat Sensor Use,Concentration
9,-0.916,1,1,22,2,1.1
9,-2.53,1,1,22,2,3.2
9,-2.92,1,1,22,2,5.9
9,-6.19,1,1,22,2,7.39
9,-5.91,1,1,22,2,7.89
9,-4.12,1,0,22,2,5.98
9,-1.83,1,0,22,2,2.62
9,-0.716,1,0,22,2,0.86
9,-0.634,1,1,22,3,0.88
9,-1.52,1,1,22,3,2.12
9,-2.67,1,1,22,3,4.35
9,-4.22,1,1,22,3,6.26
9,-5.25,1,1,22,3,7.44
9,-4.53,1,1,22,3,8.71
9,-5.22,1,1,22,3,8.39
9,-1.72,1,0,22,3,2.71
9,-0.447,1,0,22,3,0.97
9,-0.228,1,1,22,1,0.93
9,-4.68,1,1,22,1,3.18
9,-7.08,1,1,22,1,4.7
9,-7.87,1,1,22,1,6.1
9,-9.47,1,1,22,1,7.89
9,-10.3,1,1,22,1,8.02
9,-7.29,1,0,22,1,6.12
9,-5.72,1,0,22,1,4.68
9,-3.42,1,0,22,3,6.5
10,-2.27,1,0,22,3,4.2
10,-3.07,1,0,22,1,2.93
10,-0.423,1,0,22,1,1.1
10,-0.441,1,1,22,1,1.04
10,-2.22,1,1,22,1,3.12
10,-3.61,1,1,22,1,5.27
10,-5.49,1,1,22,1,7.1
10,-3.91,1,0,22,1,5.1
10,-2.2,1,0,22,1,3.62
10,-0.309,1,0,22,1,0.82
10,-0.354,1,1,22,1,0.6
10,-0.374,1,1,22,1,0.56
10,-1.11,1,1,22,1,1.49
10,-1.18,1,1,22,1,1.63
10,-1.28,1,1,22,1,1.88
10,-2.68,1,1,22,1,3.37
10,-3.22,1,1,22,1,3.75
10,-5.4,1,1,22,1,6.15
10,-5.81,1,1,22,1,6.06
10,-4.39,1,1,22,1,6.47
10,-2.58,1,0,22,1,3.64
10,-0.625,1,0,22,1,0.7
10,-0.653,1,1,10.4,1,0.95
10,-0.33,1,1,10.9,1,0.95
10,-0.312,1,1,11,1,0.95
10,-0.723,1,1,15.3,1,0.95
10,-0.318,1,1,15.4,1,0.95
10,-0.352,1,1,15.5,1,0.95
10,-0.75,1,1,20.3,1,0.95
10,-0.42,1,1,20.3,1,0.95
10,-0.406,1,1,20.5,1,0.95
10,-0.42,1,1,24.9,1,0.95
10,-0.368,1,1,24.9,1,0.95
10,-0.362,1,1,24.9,1,0.95
10,-0.7,1,1,30.1,1,0.95
10,-0.289,1,1,29.9,1,0.95
10,-0.27,1,1,29.8,1,0.95
10,-0.465,1,1,35.6,1,0.95
10,-0.292,1,1,35.2,1,0.95
10,-0.248,1,1,34.8,1,0.95
10,-0.45,1,1,40.8,1,0.95
10,-0.265,1,1,39.9,1,0.95
10,-0.261,1,1,40.5,1,0.95
10,-0.313,1,1,46.3,1,0.95
10,-0.217,1,1,45.3,1,0.95
10,-0.148,1,1,44.9,1,0.95
10,-0.205,1,1,9.9,1,0.95
10,-0.16,1,1,10.2,1,0.95
10,-0.161,1,1,15.2,1,0.95
10,-0.115,1,1,15,1,0.95
10,-0.199,1,1,20,1,0.95
10,-0.136,1,1,20,1,0.95
10,-0.219,1,1,24.8,1,0.95
10,-0.149,1,1,24.8,1,0.95
10,-0.247,1,1,30,1,0.95
10,-0.169,1,1,29.5,1,0.95
10,-0.308,1,1,35,1,0.95
10,-0.178,1,1,34.5,1,0.95
10,-0.248,1,1,40,1,0.95
10,-0.188,1,1,40.2,1,0.95
10,-0.21,1,1,45.2,1,0.95
10,-0.214,1,1,45,1,0.95
10,-8.64,1,0,22,1,6.6
10,-6.35,1,0,22,1,5
10,-3.42,1,0,22,1,3.2
10,-1.5,1,0,22,1,1.3
10,-1.68,0,1,22,1,4.31
10,-1.6,0,1,22,1,4.32
10,-1.39,0,1,22,1,4.36
10,-1.5,0,1,22,1,4.38
10,-1.83,0,1,22,1,4.39
10,-1.31,0,1,22,1,4.4
10,-1.48,0,1,22,1,4.42
10,-1.45,0,1,22,1,4.43
10,-1.5,0,1,22,1,4.5
10,-1.45,0,1,22,1,4.51
10,-1.42,0,1,22,1,4.52
10,-0.431,1,1,22,1,1.04
10,-2.02,1,1,22,1,3.12
10,-3.36,1,1,22,1,5.27
10,-5,1,1,22,1,7.1
10,-3.91,1,0,22,1,5.1
10,-2.01,1,0,22,1,3.62
10,-0.284,1,0,22,1,0.82
10,-4.15,1,0,22,1,7.94
10,-0.523,1,1,22,2,0.76
10,-0.845,1,1,22,2,1.1
10,-2.34,1,1,22,2,3.2
10,-2.72,1,1,22,2,5.9
10,-5.66,1,1,22,2,7.39
10,-5.51,1,1,22,2,7.89
10,-3.82,1,0,22,2,5.98
10,-1.7,1,0,22,2,2.62
10,-0.65,1,0,22,2,0.86
10,-0.614,1,1,22,3,0.88
10,-1.42,1,1,22,3,2.12
10,-2.49,1,1,22,3,4.35
10,-3.92,1,1,22,3,6.26
10,-4.89,1,1,22,3,7.44
10,-4.27,1,1,22,3,8.71
10,-4.92,1,1,22,3,8.39
10,-1.6,1,0,22,3,2.71
10,-0.458,1,0,22,3,0.97
10,-0.21,1,1,22,1,0.93
10,-4.13,1,1,22,1,3.18
10,-6.17,1,1,22,1,4.7
10,-7.05,1,1,22,1,6.1
10,-8.54,1,1,22,1,7.89
10,-9.27,1,1,22,1,8.02
10,-6.52,1,0,22,1,6.12
10,-5.06,1,0,22,1,4.68
10,-3.2,1,0,22,3,6.5
11,-2.14,1,0,22,3,4.2
11,-2.83,1,0,22,1,2.93
11,-0.402,1,0,22,1,1.1
11,-0.431,1,1,22,1,1.04
11,-2.02,1,1,22,1,3.12
11,-3.36,1,1,22,1,5.27
11,-5,1,1,22,1,7.1
11,-3.61,1,0,22,1,5.1
11,-2.01,1,0,22,1,3.62
11,-0.284,1,0,22,1,0.82
11,-0.317,1,1,22,1,0.6
11,-0.34,1,1,22,1,0.56
11,-1,1,1,22,1,1.49
11,-1.06,1,1,22,1,1.63
11,-1.15,1,1,22,1,1.88
11,-2.41,1,1,22,1,3.37
11,-2.84,1,1,22,1,3.75
11,-4.83,1,1,22,1,6.15
11,-5.2,1,1,22,1,6.06
11,-4.01,1,1,22,1,6.47
11,-2.34,1,0,22,1,3.64
